12V:1
A1:1
C1:1
C2:1
C3:1
D1:1
F1:1
G***:5
GPIO_A1:1
GPIO_A2:1
GPIO_A3:1
I2C_1:1
I2C_2:1
I2C_3:1
R1:1
R10:1
R11:1
R12:1
R13:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RELAY:1
RELAY_ARD:1
U1:1
U3:1
U4:1
